/srv/defectDetectionDataset/multiclassClassification/noisy/missing_part/chart_Missing_end.png, missing_part, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101029_44.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141850_21.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250709-154209_6.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-100949_5.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250709-154207_4.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101036_50.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141934_63.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101113_86.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-102058_5.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-143511_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-110947_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-151509_6.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250630-160845_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101141_113.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101120_93.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-100944_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-155036_4.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141844_15.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-165848_13.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-165839_4.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101050_64.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101004_20.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101013_28.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101011_26.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-142706_8.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101103_76.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-102306_2.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101106_79.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141947_76.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250709-154203_1.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141839_10.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141908_38.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141914_44.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-150123_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-110948_1.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141903_33.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141935_64.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142000_88.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101010_25.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101027_42.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142003_91.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101015_30.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-104331_4.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101003_19.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250630-101241_22.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250508-153754_5.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101105_78.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141939_68.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-102610_2.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141926_55.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-102054_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142009_97.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-151745_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101111_84.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250709-154208_5.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141938_67.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101049_63.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-102100_6.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101053_67.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-101952_8.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101136_108.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141920_50.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-155038_6.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-100955_11.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-102302_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-151503_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250709-151536_5.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142020_108.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141933_62.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-102308_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141954_83.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-204718_2.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142008_96.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-151504_1.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-151506_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101059_72.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101126_98.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141838_9.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-142821_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-100958_14.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141953_82.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250709-151537_6.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101117_90.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101035_49.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141829_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-113054_1.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250709-154204_2.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101118_91.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101002_18.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101028_43.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250508-153757_8.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101135_107.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-204724_8.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101020_35.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-101005_7.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141833_4.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141911_41.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141955_84.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141907_37.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101128_100.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-153546_13.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250506-153712_18.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141923_53.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142011_99.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250513-092331_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141904_34.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-101003_6.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141848_19.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142027_114.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142002_90.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141858_28.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141849_20.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141846_17.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250630-160842_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-150128_8.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-153201_6.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-101954_9.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101040_54.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-150127_7.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141950_79.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141959_87.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-165811_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-151511_8.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141847_18.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-102614_4.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250630-160849_7.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101124_97.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-165814_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141948_77.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101051_65.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250521-115738_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250508-153751_2.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-165812_1.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-102056_4.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-204723_7.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142005_93.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250709-154206_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141832_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250630-160843_1.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-165851_16.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-155032_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142012_100.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-101942_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250508-153756_7.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141905_35.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141854_25.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142026_113.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101021_36.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141842_13.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-150031_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-204719_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101000_16.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141946_75.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141928_57.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101108_81.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141843_14.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-155035_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-150126_6.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-151510_7.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-165849_14.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101026_41.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141853_24.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-102103_7.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101005_21.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250709-154349_8.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-100948_4.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-100953_9.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101016_31.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-101950_7.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101110_83.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-104322_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250513-130926_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-110949_2.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141912_42.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101100_73.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141840_11.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101023_38.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250514-104326_2.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142405_0.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141924_54.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101101_74.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141919_49.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141855_26.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142001_89.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250508-153752_3.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-142014_102.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141909_39.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250707-142703_5.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-113057_4.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250507-165815_4.jpg, no_deficiencies, removed, empty or too bad quality
